Airline,Source,Destination,Duration,Total_Stops,Price,Month,Day_Name
IndiGo,Banglore,New Delhi,175.2,0,8033.0,March,Friday
Jet Airways,Banglore,New Delhi,805.2,1,27992.0,March,Friday
Jet Airways,Kolkata,Banglore,775.2,1,13941.0,May,Sunday
Jet Airways,Kolkata,Banglore,585.0,1,14388.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1285.2,1,10844.0,May,Sunday
IndiGo,Delhi,Cochin,940.2,1,11600.0,March,Sunday
IndiGo,Chennai,Kolkata,139.8,0,5277.0,June,Thursday
Jet Airways,Delhi,Cochin,865.2,1,10262.0,June,Monday
IndiGo,Banglore,New Delhi,169.8,0,6144.0,March,Sunday
Jet Airways,Delhi,Cochin,394.8,1,12898.0,June,Monday
Jet Airways,Kolkata,Banglore,1330.2,1,13941.0,May,Sunday
Jet Airways,Delhi,Cochin,865.2,1,12373.0,May,Saturday
SpiceJet,Kolkata,Banglore,150.0,0,3841.0,April,Wednesday
Air India,Kolkata,Banglore,1414.8,2,10697.0,May,Saturday
Jet Airways,Banglore,New Delhi,784.8,1,26890.0,March,Friday
SpiceJet,Mumbai,Hyderabad,90.0,0,2175.0,June,Saturday
IndiGo,Delhi,Cochin,304.8,1,9476.0,May,Monday
Air India,Mumbai,Hyderabad,79.80000000000001,0,3100.0,May,Friday
Jet Airways,Delhi,Cochin,1375.2,2,10368.0,June,Saturday
SpiceJet,Mumbai,Hyderabad,90.0,0,2017.0,May,Saturday
SpiceJet,Kolkata,Banglore,154.8,0,3841.0,April,Monday
Air India,Delhi,Cochin,2239.7999999999997,2,10493.0,May,Tuesday
SpiceJet,Banglore,New Delhi,169.8,0,5126.0,March,Saturday
IndiGo,Banglore,Delhi,169.8,0,3943.0,June,Tuesday
Air India,Delhi,Cochin,2170.2000000000003,2,11552.0,March,Wednesday
Air India,Delhi,Cochin,555.0,1,7934.0,March,Thursday
Air India,Mumbai,Hyderabad,85.19999999999999,0,6092.0,March,Friday
IndiGo,Delhi,Cochin,304.8,1,10112.0,June,Wednesday
Vistara,Chennai,Kolkata,135.0,0,6627.0,March,Saturday
Jet Airways,Delhi,Cochin,910.2,2,11507.0,June,Monday
Jet Airways,Banglore,New Delhi,1555.2,1,26890.0,March,Friday
Jet Airways,Banglore,New Delhi,340.2,1,13817.0,March,Tuesday
Jet Airways,Kolkata,Banglore,450.0,1,13364.0,April,Monday
Vistara,Kolkata,Banglore,1065.0,1,9187.0,June,Thursday
IndiGo,Chennai,Kolkata,139.8,0,5277.0,May,Thursday
Air India,Banglore,New Delhi,495.0,1,13492.0,March,Tuesday
Air Asia,Kolkata,Banglore,220.2,1,5162.0,June,Wednesday
GoAir,Delhi,Cochin,355.2,1,5897.0,June,Sunday
Air India,Kolkata,Banglore,150.0,0,5510.0,June,Monday
Jet Airways,Banglore,New Delhi,1050.0,1,17261.0,March,Wednesday
Multiple carriers,Delhi,Cochin,829.8,1,7485.0,May,Tuesday
Air India,Chennai,Kolkata,135.0,0,4667.0,June,Friday
Jet Airways,Kolkata,Banglore,1294.8,1,14151.0,May,Wednesday
IndiGo,Delhi,Cochin,570.0,1,7048.0,May,Monday
Jet Airways,Delhi,Cochin,520.2,1,12557.0,March,Thursday
Multiple carriers,Delhi,Cochin,625.2,2,15965.0,June,Saturday
Air India,Banglore,New Delhi,2104.7999999999997,2,11791.0,March,Sunday
Multiple carriers,Delhi,Cochin,855.0,2,8291.0,March,Sunday
IndiGo,Banglore,Delhi,180.0,0,4990.0,April,Sunday
Vistara,Kolkata,Banglore,1549.8,1,9135.0,May,Sunday
Air Asia,Kolkata,Banglore,150.0,0,4409.0,April,Friday
Jet Airways,Kolkata,Banglore,520.2,1,10844.0,May,Tuesday
Multiple carriers,Delhi,Cochin,600.0,1,10407.0,May,Monday
Multiple carriers,Delhi,Cochin,690.0,1,9315.0,May,Monday
Jet Airways,Kolkata,Banglore,450.0,1,9663.0,May,Friday
IndiGo,Delhi,Cochin,420.0,1,9264.0,March,Thursday
SpiceJet,Chennai,Kolkata,135.0,0,3597.0,May,Wednesday
IndiGo,Delhi,Cochin,424.8,1,6442.0,June,Monday
Multiple carriers,Delhi,Cochin,480.0,1,15078.0,May,Thursday
IndiGo,Kolkata,Banglore,325.2,1,6218.0,May,Wednesday
Jet Airways,Delhi,Cochin,1414.8,1,10262.0,June,Wednesday
Multiple carriers,Delhi,Cochin,394.8,1,13677.0,March,Saturday
Jet Airways,Banglore,Delhi,180.0,0,8016.0,June,Monday
Jet Airways,Delhi,Cochin,1144.8,1,10262.0,June,Monday
SpiceJet,Kolkata,Banglore,154.8,0,3873.0,June,Thursday
SpiceJet,Delhi,Cochin,270.0,1,4812.0,June,Thursday
SpiceJet,Mumbai,Hyderabad,90.0,0,2017.0,May,Wednesday
IndiGo,Kolkata,Banglore,160.2,0,4462.0,March,Thursday
Air India,Delhi,Cochin,1600.2,2,10231.0,June,Saturday
Air India,Banglore,New Delhi,745.2,1,6383.0,March,Thursday
Air India,Delhi,Cochin,865.2,2,11989.0,June,Monday
IndiGo,Banglore,New Delhi,169.8,0,7303.0,March,Sunday
Jet Airways,Banglore,Delhi,184.8,0,7229.0,April,Sunday
Jet Airways,Mumbai,Hyderabad,90.0,0,4995.0,June,Friday
Multiple carriers,Delhi,Cochin,480.0,1,7408.0,June,Saturday
Air India,Kolkata,Banglore,1185.0,2,14960.0,May,Wednesday
Air Asia,Banglore,New Delhi,165.0,0,4482.0,March,Sunday
IndiGo,Delhi,Cochin,559.8,1,6442.0,June,Saturday
Jet Airways,Banglore,Delhi,180.0,0,6144.0,May,Sunday
Jet Airways,Delhi,Cochin,1615.2,2,15129.0,May,Monday
Air India,Delhi,Cochin,1275.0,2,10231.0,May,Tuesday
IndiGo,Banglore,Delhi,169.8,0,4823.0,April,Wednesday
IndiGo,Banglore,Delhi,169.8,0,4823.0,June,Sunday
Jet Airways,Delhi,Cochin,1015.2,1,12898.0,May,Tuesday
Jet Airways,Mumbai,Hyderabad,90.0,0,5678.0,May,Wednesday
Air India,Delhi,Cochin,1545.0,2,14483.0,March,Saturday
Jet Airways,Mumbai,Hyderabad,90.0,0,2228.0,May,Wednesday
Multiple carriers,Delhi,Cochin,555.0,1,8018.0,June,Saturday
Multiple carriers,Delhi,Cochin,664.8,1,15136.0,March,Wednesday
SpiceJet,Delhi,Cochin,379.8,1,5583.0,April,Wednesday
Air India,Delhi,Cochin,1729.8,2,13381.0,June,Wednesday
Air India,Banglore,New Delhi,1675.2,1,7932.0,March,Friday
Jet Airways,Kolkata,Banglore,735.0,1,7757.0,May,Thursday
Jet Airways,Delhi,Cochin,1375.2,2,13029.0,May,Saturday
SpiceJet,Kolkata,Banglore,154.8,0,3841.0,June,Sunday
Air India,Banglore,New Delhi,169.8,0,10216.0,March,Sunday
Air India,Mumbai,Hyderabad,79.80000000000001,0,3100.0,May,Tuesday
Air India,Delhi,Cochin,1560.0,2,8245.0,March,Thursday
Air India,Banglore,New Delhi,525.0,1,14594.0,March,Friday
Jet Airways,Delhi,Cochin,1090.2,2,14237.0,June,Saturday
Air India,Kolkata,Banglore,895.2,2,13164.0,May,Tuesday
Jet Airways,Delhi,Cochin,450.0,1,14924.0,June,Sunday
Jet Airways,Kolkata,Banglore,1150.2,1,10844.0,May,Tuesday
Jet Airways,Kolkata,Banglore,435.0,1,7064.0,May,Monday
Vistara,Kolkata,Banglore,700.2,1,9555.0,May,Friday
Multiple carriers,Delhi,Cochin,520.2,1,7155.0,June,Monday
Multiple carriers,Delhi,Cochin,660.0,1,12192.0,June,Sunday
Air Asia,Delhi,Cochin,865.2,1,7353.0,May,Saturday
IndiGo,Delhi,Cochin,274.8,1,5054.0,June,Thursday
Multiple carriers,Delhi,Cochin,460.2,2,18485.0,June,Saturday
Jet Airways,Kolkata,Banglore,705.0,1,10844.0,June,Thursday
Jet Airways,Banglore,Delhi,180.0,0,6144.0,May,Saturday
IndiGo,Mumbai,Hyderabad,90.0,0,2754.0,May,Wednesday
Multiple carriers,Delhi,Cochin,630.0,1,12327.0,March,Wednesday
SpiceJet,Kolkata,Banglore,154.8,0,3841.0,May,Monday
Jet Airways,Delhi,Cochin,334.8,1,12373.0,May,Saturday
IndiGo,Delhi,Cochin,705.0,1,7318.0,May,Tuesday
Jet Airways,Banglore,New Delhi,1200.0,1,16736.0,March,Wednesday
IndiGo,Delhi,Cochin,345.0,1,6195.0,June,Sunday
SpiceJet,Mumbai,Hyderabad,90.0,0,2753.0,June,Thursday
SpiceJet,Chennai,Kolkata,154.8,0,3807.0,March,Sunday
Jet Airways,Delhi,Cochin,2820.0,2,20064.0,March,Sunday
IndiGo,Delhi,Cochin,195.0,0,5406.0,June,Friday
Air India,Delhi,Cochin,1275.0,2,10441.0,June,Saturday
Jet Airways,Kolkata,Banglore,799.8,1,8066.0,May,Monday
Air India,Banglore,Delhi,165.0,0,6961.0,June,Thursday
Vistara,Delhi,Cochin,175.2,0,5586.0,March,Thursday
Air India,Delhi,Cochin,319.8,1,7384.0,June,Saturday
Jet Airways,Banglore,New Delhi,1279.8,1,20800.0,March,Friday
Jet Airways,Kolkata,Banglore,330.0,1,13941.0,May,Sunday
Jet Airways,Banglore,Delhi,180.0,0,5198.0,May,Friday
SpiceJet,Chennai,Kolkata,154.8,0,3807.0,March,Monday
Multiple carriers,Delhi,Cochin,754.8,1,13838.0,March,Sunday
Air India,Delhi,Cochin,1579.8,2,11185.0,June,Monday
Jet Airways,Banglore,Delhi,175.2,0,7229.0,June,Friday
Jet Airways,Delhi,Cochin,394.8,1,10262.0,June,Wednesday
Air Asia,Kolkata,Banglore,150.0,0,4384.0,March,Saturday
Jet Airways,Delhi,Cochin,1390.2,2,12819.0,June,Thursday
Jet Airways,Kolkata,Banglore,775.2,1,7757.0,May,Monday
Air India,Delhi,Cochin,1590.0,1,7174.0,April,Sunday
IndiGo,Delhi,Cochin,634.8,1,6674.0,June,Saturday
IndiGo,Mumbai,Hyderabad,94.80000000000001,0,2227.0,May,Saturday
Jet Airways,Delhi,Cochin,1024.8,2,13014.0,June,Wednesday
IndiGo,Mumbai,Hyderabad,90.0,0,3175.0,March,Thursday
IndiGo,Kolkata,Banglore,165.0,0,6565.0,March,Friday
Jet Airways,Kolkata,Banglore,1720.2,1,12681.0,April,Monday
Vistara,Chennai,Kolkata,135.0,0,3687.0,June,Saturday
Jet Airways,Mumbai,Hyderabad,90.0,0,3210.0,June,Saturday
IndiGo,Kolkata,Banglore,160.2,0,4778.0,March,Wednesday
Multiple carriers,Delhi,Cochin,454.8,1,10877.0,June,Monday
Vistara,Kolkata,Banglore,865.2,1,9187.0,May,Friday
Air India,Banglore,New Delhi,1519.8,1,6850.0,March,Friday
Jet Airways,Kolkata,Banglore,589.8,1,14781.0,May,Sunday
Air India,Kolkata,Banglore,970.2,2,13227.0,May,Monday
Vistara,Banglore,Delhi,160.2,0,4668.0,May,Thursday
Jet Airways,Kolkata,Banglore,330.0,1,14178.0,May,Friday
Jet Airways,Kolkata,Banglore,1005.0,1,8066.0,May,Monday
IndiGo,Banglore,Delhi,169.8,0,3943.0,May,Monday
Multiple carriers,Delhi,Cochin,690.0,1,11200.0,June,Saturday
Jet Airways,Kolkata,Banglore,585.0,1,8586.0,May,Saturday
Jet Airways,Kolkata,Banglore,775.2,1,13044.0,June,Wednesday
Multiple carriers,Delhi,Cochin,600.0,1,8099.0,June,Monday
Jet Airways,Delhi,Cochin,655.2,1,10262.0,June,Saturday
Multiple carriers,Delhi,Cochin,460.2,2,18275.0,June,Monday
Multiple carriers,Delhi,Cochin,900.0,1,8475.0,May,Monday
SpiceJet,Kolkata,Banglore,139.8,0,3873.0,April,Saturday
IndiGo,Mumbai,Hyderabad,90.0,0,2227.0,June,Friday
Jet Airways,Delhi,Cochin,2299.7999999999997,2,16389.0,March,Wednesday
Air India,Banglore,Delhi,165.0,0,5228.0,May,Friday
Air India,Banglore,New Delhi,1264.8,1,5092.0,March,Thursday
IndiGo,Banglore,New Delhi,175.2,0,4777.0,March,Saturday
Air Asia,Banglore,New Delhi,169.8,0,3383.0,March,Sunday
Vistara,Kolkata,Banglore,1555.2,1,8452.0,May,Tuesday
IndiGo,Banglore,Delhi,169.8,0,3943.0,May,Monday
Air India,Mumbai,Hyderabad,79.80000000000001,0,3100.0,June,Monday
IndiGo,Delhi,Cochin,985.2,1,14871.0,March,Wednesday
Jet Airways,Banglore,Delhi,175.2,0,8016.0,June,Friday
Multiple carriers,Delhi,Cochin,780.0,1,11789.0,June,Wednesday
Multiple carriers,Delhi,Cochin,439.8,1,10529.0,May,Wednesday
Air Asia,Banglore,New Delhi,169.8,0,5615.0,March,Friday
SpiceJet,Kolkata,Banglore,315.0,1,4649.0,June,Thursday
Air India,Kolkata,Banglore,1045.2,2,12723.0,June,Sunday
Jet Airways,Kolkata,Banglore,705.0,1,10844.0,May,Friday
Jet Airways,Delhi,Cochin,1324.8,1,14714.0,June,Monday
Vistara,Delhi,Cochin,190.2,0,6216.0,June,Wednesday
IndiGo,Kolkata,Banglore,165.0,0,4148.0,March,Friday
IndiGo,Delhi,Cochin,319.8,1,5647.0,March,Wednesday
Jet Airways,Kolkata,Banglore,589.8,1,10844.0,May,Wednesday
IndiGo,Delhi,Cochin,424.8,1,6818.0,May,Thursday
Air India,Delhi,Cochin,1245.0,2,13643.0,May,Monday
Multiple carriers,Delhi,Cochin,840.0,1,6358.0,March,Wednesday
Jet Airways,Delhi,Cochin,360.0,1,14714.0,June,Saturday
SpiceJet,Delhi,Cochin,270.0,1,6460.0,April,Sunday
Jet Airways,Kolkata,Banglore,889.8,1,9663.0,May,Sunday
Jet Airways,Kolkata,Banglore,1654.8,1,13941.0,May,Tuesday
Jet Airways,Delhi,Cochin,1440.0,1,5963.0,March,Wednesday
Jet Airways,Delhi,Cochin,1024.8,2,13014.0,June,Saturday
Jet Airways,Kolkata,Banglore,1009.8,1,9663.0,May,Thursday
IndiGo,Banglore,Delhi,169.8,0,4423.0,April,Saturday
Jet Airways,Delhi,Cochin,439.8,2,21219.0,May,Monday
IndiGo,Delhi,Cochin,415.2,1,7503.0,May,Friday
IndiGo,Kolkata,Banglore,160.2,0,4804.0,June,Monday
Jet Airways,Delhi,Cochin,1615.2,2,15129.0,May,Thursday
Multiple carriers,Delhi,Cochin,850.2,2,6197.0,March,Wednesday
SpiceJet,Chennai,Kolkata,139.8,0,3597.0,May,Monday
Multiple carriers,Delhi,Cochin,705.0,1,9100.0,March,Wednesday
Jet Airways,Mumbai,Hyderabad,85.19999999999999,0,4050.0,June,Saturday
Multiple carriers,Delhi,Cochin,930.0,1,7723.0,June,Thursday
Jet Airways,Delhi,Cochin,1195.2,2,15129.0,May,Thursday
Jet Airways,Delhi,Cochin,660.0,1,12373.0,May,Saturday
IndiGo,Banglore,Delhi,169.8,0,4591.0,May,Friday
SpiceJet,Chennai,Kolkata,135.0,0,6300.0,March,Saturday
Air India,Banglore,New Delhi,165.0,0,5176.0,March,Sunday
Multiple carriers,Delhi,Cochin,600.0,1,12717.0,June,Saturday
Air India,Chennai,Kolkata,135.0,0,4405.0,March,Monday
SpiceJet,Delhi,Cochin,379.8,1,6749.0,April,Sunday
Jet Airways,Kolkata,Banglore,435.0,1,7064.0,May,Sunday
Jet Airways,Delhi,Cochin,330.0,1,16289.0,May,Tuesday
IndiGo,Chennai,Kolkata,145.2,0,6297.0,March,Friday
Jet Airways,Mumbai,Hyderabad,90.0,0,5678.0,May,Sunday
Jet Airways,Kolkata,Banglore,799.8,1,14388.0,May,Wednesday
Jet Airways,Banglore,Delhi,165.0,0,7229.0,April,Thursday
IndiGo,Kolkata,Banglore,270.0,1,9806.0,March,Sunday
IndiGo,Delhi,Cochin,345.0,1,6195.0,June,Thursday
Jet Airways,Kolkata,Banglore,1399.8,1,13044.0,June,Wednesday
Jet Airways,Delhi,Cochin,1000.2,2,13882.0,June,Thursday
Jet Airways,Banglore,New Delhi,300.0,1,8147.0,March,Sunday
Air India,Delhi,Cochin,865.2,2,8052.0,April,Tuesday
Jet Airways,Kolkata,Banglore,799.8,1,14781.0,May,Wednesday
Jet Airways,Kolkata,Banglore,750.0,1,14151.0,May,Friday
IndiGo,Kolkata,Banglore,325.2,1,6704.0,May,Saturday
Jet Airways,Kolkata,Banglore,1654.8,1,9663.0,May,Wednesday
IndiGo,Kolkata,Banglore,154.8,0,4462.0,March,Monday
Jet Airways,Delhi,Cochin,1060.2,2,8367.0,March,Thursday
Jet Airways,Delhi,Cochin,1300.2,2,13376.0,June,Sunday
Jet Airways,Kolkata,Banglore,799.8,1,13067.0,May,Tuesday
IndiGo,Kolkata,Banglore,150.0,0,5224.0,May,Tuesday
Multiple carriers,Delhi,Cochin,574.8,1,13542.0,March,Thursday
GoAir,Banglore,Delhi,175.2,0,3419.0,May,Friday
Multiple carriers,Delhi,Cochin,694.8,2,10444.0,March,Wednesday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,June,Saturday
Jet Airways,Mumbai,Hyderabad,85.19999999999999,0,4995.0,May,Tuesday
SpiceJet,Delhi,Cochin,295.2,1,4957.0,April,Saturday
Jet Airways,Delhi,Cochin,450.0,1,15554.0,May,Thursday
Jet Airways,Kolkata,Banglore,960.0,1,9663.0,May,Wednesday
Jet Airways,Kolkata,Banglore,1450.2,1,14151.0,May,Saturday
IndiGo,Delhi,Cochin,195.0,0,5601.0,June,Thursday
Multiple carriers,Delhi,Cochin,754.8,1,7787.0,May,Wednesday
Air India,Banglore,New Delhi,724.8,1,5092.0,March,Thursday
Jet Airways,Kolkata,Banglore,730.2,1,10844.0,June,Thursday
Multiple carriers,Delhi,Cochin,465.0,2,23583.0,March,Saturday
Air India,Kolkata,Banglore,1830.0,2,10676.0,May,Sunday
SpiceJet,Kolkata,Banglore,435.0,1,10156.0,June,Thursday
Air Asia,Delhi,Cochin,865.2,1,8627.0,March,Wednesday
Air Asia,Kolkata,Banglore,150.0,0,4409.0,May,Tuesday
Multiple carriers,Delhi,Cochin,385.2,1,9646.0,May,Saturday
Jet Airways,Banglore,New Delhi,900.0,1,13817.0,March,Tuesday
Air India,Delhi,Cochin,1099.8,2,13538.0,May,Thursday
Air India,Kolkata,Banglore,1195.2,2,9416.0,May,Thursday
Jet Airways,Banglore,Delhi,175.2,0,7229.0,April,Saturday
Air India,Kolkata,Banglore,795.0,1,10203.0,May,Wednesday
IndiGo,Delhi,Cochin,525.0,1,6778.0,May,Tuesday
IndiGo,Mumbai,Hyderabad,90.0,0,2754.0,June,Saturday
Air India,Kolkata,Banglore,874.8,2,10991.0,May,Wednesday
Vistara,Banglore,Delhi,169.8,0,4668.0,May,Monday
SpiceJet,Delhi,Cochin,270.0,1,5726.0,June,Monday
Air India,Kolkata,Banglore,805.2,2,14960.0,June,Wednesday
Air India,Delhi,Cochin,765.0,1,7480.0,May,Tuesday
Air Asia,Kolkata,Banglore,150.0,0,4107.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1450.2,1,11467.0,May,Wednesday
IndiGo,Delhi,Cochin,325.2,1,5796.0,April,Saturday
Jet Airways,Delhi,Cochin,1005.0,1,10262.0,June,Thursday
Air India,Delhi,Cochin,1585.2,3,11543.0,June,Thursday
IndiGo,Delhi,Cochin,319.8,1,5298.0,April,Wednesday
Air Asia,Delhi,Cochin,625.2,1,6451.0,April,Saturday
Air India,Kolkata,Banglore,150.0,0,6245.0,June,Sunday
Jet Airways,Mumbai,Hyderabad,90.0,0,2071.0,March,Wednesday
IndiGo,Kolkata,Banglore,165.0,0,4804.0,May,Wednesday
Multiple carriers,Delhi,Cochin,810.0,1,7005.0,June,Thursday
Jet Airways,Banglore,New Delhi,400.2,1,12284.0,March,Monday
Air India,Kolkata,Banglore,805.2,1,10203.0,May,Thursday
IndiGo,Delhi,Cochin,490.2,1,6938.0,May,Monday
Multiple carriers,Delhi,Cochin,930.0,1,13377.0,June,Wednesday
Multiple carriers,Delhi,Cochin,600.0,1,9779.0,June,Saturday
Air India,Chennai,Kolkata,135.0,0,4667.0,May,Wednesday
Jet Airways,Banglore,Delhi,180.0,0,4544.0,April,Wednesday
Jet Airways,Delhi,Cochin,394.8,1,16079.0,June,Thursday
Jet Airways,Kolkata,Banglore,1639.8,1,7064.0,April,Monday
Jet Airways,Delhi,Cochin,300.0,1,15554.0,May,Saturday
SpiceJet,Chennai,Kolkata,135.0,0,3543.0,May,Saturday
Air India,Banglore,Delhi,169.8,0,6121.0,April,Thursday
IndiGo,Delhi,Cochin,424.8,1,8075.0,March,Wednesday
Multiple carriers,Delhi,Cochin,840.0,1,13377.0,June,Monday
Jet Airways,Kolkata,Banglore,345.0,1,14571.0,May,Friday
SpiceJet,Banglore,Delhi,160.2,0,3919.0,April,Wednesday
Jet Airways,Kolkata,Banglore,589.8,1,14231.0,March,Sunday
IndiGo,Mumbai,Hyderabad,85.19999999999999,0,2754.0,March,Friday
Air India,Delhi,Cochin,319.8,1,8067.0,May,Tuesday
Vistara,Kolkata,Banglore,930.0,1,8452.0,May,Monday
Jet Airways,Banglore,New Delhi,1279.8,1,15025.0,March,Wednesday
Jet Airways,Banglore,New Delhi,435.0,1,26890.0,March,Friday
Jet Airways,Delhi,Cochin,349.8,1,15103.0,March,Wednesday
Jet Airways,Kolkata,Banglore,874.8,1,8586.0,May,Friday
Jet Airways,Kolkata,Banglore,475.2,1,10844.0,June,Sunday
Jet Airways,Delhi,Cochin,394.8,1,12898.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1545.0,1,8586.0,May,Sunday
Multiple carriers,Delhi,Cochin,630.0,1,11622.0,June,Sunday
Air India,Delhi,Cochin,1855.2,2,13538.0,May,Monday
Jet Airways,Delhi,Cochin,1375.2,2,13014.0,June,Saturday
Jet Airways,Kolkata,Banglore,910.2,1,13941.0,May,Thursday
Jet Airways,Kolkata,Banglore,1519.8,1,14151.0,May,Saturday
Multiple carriers,Delhi,Cochin,484.8,1,13542.0,March,Thursday
IndiGo,Delhi,Cochin,940.2,1,6558.0,March,Thursday
Air Asia,Kolkata,Banglore,709.8,1,5192.0,May,Saturday
Vistara,Banglore,Delhi,160.2,0,4878.0,June,Saturday
Jet Airways,Delhi,Cochin,1294.8,1,12898.0,May,Monday
Air India,Delhi,Cochin,319.8,1,7384.0,June,Sunday
GoAir,Banglore,Delhi,175.2,0,3898.0,May,Friday
Air Asia,Banglore,Delhi,169.8,0,3383.0,May,Monday
IndiGo,Delhi,Cochin,859.8,1,6093.0,June,Monday
Multiple carriers,Delhi,Cochin,660.0,1,12192.0,June,Wednesday
Multiple carriers,Delhi,Cochin,760.2,1,6795.0,June,Wednesday
Jet Airways,Banglore,New Delhi,1480.2,1,11455.0,March,Monday
IndiGo,Chennai,Kolkata,165.0,0,3540.0,June,Saturday
Multiple carriers,Delhi,Cochin,615.0,1,15898.0,May,Monday
Multiple carriers,Delhi,Cochin,660.0,1,9718.0,June,Monday
GoAir,Kolkata,Banglore,454.8,1,7831.0,May,Wednesday
IndiGo,Delhi,Cochin,750.0,1,6416.0,June,Monday
Vistara,Chennai,Kolkata,135.0,0,3739.0,March,Wednesday
Vistara,Kolkata,Banglore,975.0,1,8085.0,May,Monday
IndiGo,Banglore,Delhi,180.0,0,4823.0,May,Friday
Jet Airways,Delhi,Cochin,1320.0,2,13376.0,June,Sunday
Vistara,Kolkata,Banglore,865.2,1,8452.0,May,Wednesday
Jet Airways,Kolkata,Banglore,1594.8,1,10844.0,June,Thursday
Vistara,Delhi,Cochin,190.2,0,4851.0,March,Wednesday
Multiple carriers,Delhi,Cochin,390.0,1,6795.0,June,Saturday
IndiGo,Banglore,Delhi,169.8,0,4823.0,May,Saturday
Jet Airways,Delhi,Cochin,450.0,1,10577.0,June,Sunday
Jet Airways,Delhi,Cochin,1375.2,1,12032.0,March,Wednesday
Air Asia,Delhi,Cochin,330.0,1,9330.0,June,Saturday
Vistara,Kolkata,Banglore,355.2,1,8977.0,April,Monday
Multiple carriers,Delhi,Cochin,490.2,1,7005.0,June,Saturday
Jet Airways,Kolkata,Banglore,400.2,1,10844.0,May,Saturday
Multiple carriers,Delhi,Cochin,525.0,1,12192.0,June,Monday
Air India,Banglore,New Delhi,165.0,0,4441.0,March,Sunday
Multiple carriers,Delhi,Cochin,520.2,1,7575.0,May,Thursday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,June,Friday
SpiceJet,Chennai,Kolkata,135.0,0,3597.0,June,Thursday
Air India,Kolkata,Banglore,1615.2,1,10413.0,June,Thursday
Jet Airways,Banglore,Delhi,165.0,0,8016.0,June,Sunday
Jet Airways,Kolkata,Banglore,960.0,1,10844.0,June,Sunday
Jet Airways,Kolkata,Banglore,1009.8,1,9663.0,May,Sunday
IndiGo,Delhi,Cochin,304.8,1,6069.0,May,Saturday
IndiGo,Delhi,Cochin,634.8,1,6442.0,May,Monday
Multiple carriers,Delhi,Cochin,720.0,1,13587.0,June,Saturday
Air India,Mumbai,Hyderabad,75.0,0,3100.0,May,Thursday
Jet Airways,Kolkata,Banglore,705.0,1,14781.0,May,Tuesday
Jet Airways,Delhi,Cochin,1270.2,1,12898.0,May,Tuesday
IndiGo,Kolkata,Banglore,150.0,0,4804.0,June,Tuesday
SpiceJet,Kolkata,Banglore,145.2,0,4174.0,April,Monday
IndiGo,Banglore,Delhi,169.8,0,4591.0,May,Friday
Jet Airways,Kolkata,Banglore,1639.8,1,9663.0,May,Monday
Multiple carriers,Delhi,Cochin,630.0,1,8266.0,May,Wednesday
IndiGo,Banglore,Delhi,175.2,0,4823.0,May,Monday
Air India,Delhi,Cochin,184.8,0,6094.0,May,Tuesday
Jet Airways,Kolkata,Banglore,450.0,1,14178.0,May,Friday
Jet Airways,Delhi,Cochin,1789.8,2,13376.0,June,Sunday
Air India,Mumbai,Hyderabad,79.80000000000001,0,2575.0,March,Sunday
Vistara,Mumbai,Hyderabad,745.2,1,12395.0,March,Wednesday
IndiGo,Delhi,Cochin,709.8,1,10351.0,March,Wednesday
Air Asia,Kolkata,Banglore,955.2,1,5192.0,May,Tuesday
Multiple carriers,Delhi,Cochin,490.2,1,7670.0,May,Wednesday
Air India,Banglore,New Delhi,2104.7999999999997,2,11161.0,March,Monday
Jet Airways,Kolkata,Banglore,1294.8,1,14151.0,May,Friday
IndiGo,Kolkata,Banglore,289.8,1,4775.0,May,Monday
Air India,Delhi,Cochin,1219.8,2,12865.0,March,Wednesday
Air India,Mumbai,Hyderabad,75.0,0,5462.0,March,Wednesday
SpiceJet,Delhi,Cochin,310.2,1,8382.0,March,Saturday
Jet Airways,Banglore,Delhi,180.0,0,4544.0,April,Wednesday
Jet Airways,Banglore,Delhi,175.2,0,4544.0,April,Monday
Jet Airways,Kolkata,Banglore,424.8,1,14781.0,May,Saturday
SpiceJet,Delhi,Cochin,270.0,1,5158.0,May,Monday
Jet Airways,Mumbai,Hyderabad,90.0,0,5678.0,March,Thursday
Jet Airways,Delhi,Cochin,439.8,2,18804.0,June,Sunday
IndiGo,Mumbai,Hyderabad,90.0,0,4049.0,June,Monday
IndiGo,Kolkata,Banglore,165.0,0,6565.0,March,Sunday
Jet Airways,Delhi,Cochin,1099.8,1,12373.0,May,Saturday
Air India,Banglore,New Delhi,165.0,0,4441.0,March,Monday
SpiceJet,Chennai,Kolkata,139.8,0,3597.0,May,Saturday
Jet Airways,Mumbai,Hyderabad,90.0,0,5678.0,June,Tuesday
Air India,Delhi,Cochin,1420.2,2,10660.0,March,Saturday
Jet Airways,Banglore,Delhi,165.0,0,4544.0,April,Sunday
IndiGo,Banglore,Delhi,169.8,0,4823.0,May,Friday
Air India,Kolkata,Banglore,525.0,2,14214.0,May,Thursday
Jet Airways,Kolkata,Banglore,475.2,1,14781.0,May,Wednesday
Multiple carriers,Delhi,Cochin,394.8,1,23533.0,March,Friday
